tag,accuracy,sample_size
PART,42.85714285714285,250
NUM,0.0,250
start,0.0,500
stop,0.0,500
VB,37.42690058479532,500
PUNCT,0.0,500
N,53.57142857142857,500
PRO,83.65384615384616,500
D,60.57692307692307,500
ADV,57.89473684210527,500
CONJ,57.89473684210527,500
AP,74.0,500
ADJ,8.16326530612245,500
WH,22.727272727272727,500
PART,82.35294117647058,500
NUM,0.0,500
INTJ,0.0,500
start,0.0,750
stop,0.0,750
VB,48.54014598540146,750
PUNCT,0.0,750
N,44.37869822485207,750
PRO,85.91549295774648,750
D,76.15384615384615,750
ADV,61.90476190476191,750
CONJ,76.28865979381443,750
ADJ,13.846153846153848,750
AP,92.3076923076923,750
WH,12.5,750
PART,94.44444444444444,750
NUM,0.0,750
INTJ,0.0,750
start,0.0,1000
stop,0.0,1000
VB,40.94292803970223,1000
PUNCT,0.0,1000
N,51.40449438202247,1000
PRO,88.52459016393442,1000
D,82.78688524590164,1000
ADV,64.0552995391705,1000
CONJ,76.04790419161677,1000
AP,74.81481481481481,1000
ADJ,9.821428571428571,1000
WH,56.14035087719298,1000
PART,94.87179487179486,1000
NUM,0.0,1000
INTJ,0.0,1000
start,0.0,1500
stop,0.0,1500
VB,63.653483992467045,1500
PUNCT,0.0,1500
N,50.76923076923077,1500
PRO,90.09584664536742,1500
ADV,59.0,1500
D,80.35087719298247,1500
CONJ,75.82938388625593,1500
AP,87.83783783783784,1500
ADJ,12.05673758865248,1500
WH,43.75,1500
PART,90.0,1500
NUM,0.0,1500
INTJ,0.0,1500
start,0.0,2000
stop,0.0,2000
VB,58.47880299251871,2000
PUNCT,0.0,2000
N,59.09732016925246,2000
PRO,91.49377593360995,2000
D,81.85840707964603,2000
ADV,61.71875,2000
CONJ,80.95238095238095,2000
AP,89.74358974358975,2000
ADJ,15.350877192982455,2000
WH,54.330708661417326,2000
PART,93.84615384615384,2000
NUM,0.0,2000
INTJ,0.0,2000
XX,0.0,2000
start,0.0,2500
stop,0.0,2500
VB,52.72727272727272,2500
PUNCT,0.0,2500
N,62.5609756097561,2500
PRO,90.66901408450704,2500
D,87.2340425531915,2500
ADV,71.33620689655173,2500
CONJ,63.802083333333336,2500
AP,92.60450160771704,2500
ADJ,26.996197718631176,2500
WH,55.26315789473685,2500
PART,95.3846153846154,2500
NUM,0.0,2500
INTJ,0.0,2500
XX,0.0,2500
start,0.0,3000
stop,0.0,3000
VB,61.65938864628821,3000
PUNCT,0.0,3000
N,57.86096256684492,3000
PRO,89.86784140969164,3000
D,87.593423019432,3000
ADV,67.74193548387096,3000
CONJ,77.04918032786885,3000
AP,87.46666666666667,3000
ADJ,32.82442748091603,3000
WH,61.224489795918366,3000
PART,94.28571428571428,3000
NUM,0.0,3000
INTJ,0.0,3000
XX,0.0,3000
start,0.0,3500
stop,0.0,3500
VB,69.14191419141915,3500
PUNCT,0.0,3500
N,58.971774193548384,3500
PRO,89.50863213811421,3500
D,87.03976435935199,3500
ADV,74.01215805471124,3500
CONJ,66.31130063965884,3500
AP,90.10695187165776,3500
ADJ,28.619528619528616,3500
WH,63.372093023255815,3500
PART,97.3913043478261,3500
NUM,14.285714285714285,3500
INTJ,0.0,3500
XX,0.0,3500
start,0.0,4000
stop,0.0,4000
VB,65.06189821182944,4000
PUNCT,0.0,4000
N,63.45984112974404,4000
PRO,89.40316686967114,4000
D,87.85276073619632,4000
ADV,67.91946308724832,4000
CONJ,72.81368821292776,4000
AP,90.94736842105264,4000
ADJ,27.671232876712327,4000
WH,62.82722513089005,4000
PART,96.42857142857144,4000
NUM,10.714285714285714,4000
INTJ,0.0,4000
XX,0.0,4000
start,0.0,4500
stop,0.0,4500
VB,61.32911392405064,4500
PUNCT,0.0,4500
N,65.31881804043546,4500
D,84.3956043956044,4500
PRO,90.97909790979098,4500
ADV,69.96197718631178,4500
CONJ,74.55429497568882,4500
AP,92.33644859813084,4500
ADJ,33.091787439613526,4500
WH,62.096774193548384,4500
PART,96.15384615384616,4500
NUM,20.930232558139537,4500
INTJ,0.0,4500
XX,0.0,4500
start,0.0,5000
stop,0.0,5000
VB,62.93785310734463,5000
PUNCT,0.0,5000
N,59.84474241354975,5000
PRO,91.86834462729912,5000
D,84.88142292490119,5000
ADV,71.11111111111111,5000
CONJ,78.84057971014494,5000
AP,92.28130360205832,5000
ADJ,38.19444444444444,5000
WH,67.09956709956711,5000
PART,97.14285714285714,5000
NUM,3.225806451612903,5000
INTJ,25.0,5000
start,0.0,7500
stop,0.0,7500
VB,67.89653860783568,7500
PUNCT,0.0,7500
N,73.48662599718442,7500
PRO,90.55016181229772,7500
D,90.28452463566968,7500
ADV,74.36661698956782,7500
CONJ,73.82146439317954,7500
AP,91.55092592592592,7500
ADJ,45.03105590062112,7500
WH,62.93333333333333,7500
PART,94.94949494949496,7500
NUM,35.13513513513514,7500
INTJ,46.15384615384615,7500
XX,0.0,7500
start,0.0,10000
stop,0.0,10000
VB,72.48750694058856,10000
PUNCT,0.0,10000
N,68.87238352464551,10000
PRO,92.3319801533604,10000
D,88.58722976370035,10000
ADV,78.46153846153847,10000
CONJ,75.40407589599438,10000
AP,93.3869526362824,10000
ADJ,44.3458980044346,10000
WH,70.39999999999999,10000
PART,96.94656488549616,10000
NUM,52.63157894736842,10000
INTJ,46.15384615384615,10000
XX,0.0,10000
start,0.0,18853
stop,0.0,18853
VB,75.62862669245648,18853
PUNCT,0.0,18853
N,76.4021164021164,18853
PRO,92.46001523229246,18853
D,93.86730108379592,18853
ADV,81.30252100840336,18853
CONJ,71.98086887206058,18853
AP,93.95729213993638,18853
ADJ,53.18772136953955,18853
WH,75.56512378902045,18853
PART,95.00924214417743,18853
NUM,61.68831168831169,18853
INTJ,57.14285714285714,18853
XX,0.0,18853
start,0.0,250
stop,0.0,250
VB,51.578947368421055,250
PUNCT,0.0,250
N,42.10526315789473,250
PRO,73.21428571428571,250
CONJ,70.0,250
D,56.81818181818182,250
ADV,44.73684210526316,250
ADJ,11.11111111111111,250
AP,76.92307692307693,250
WH,7.142857142857142,250
PART,80.0,250
NUM,0.0,250
INTJ,0.0,250
start,0.0,500
stop,0.0,500
PUNCT,0.0,500
VB,45.11627906976744,500
N,31.25,500
PRO,77.84810126582279,500
D,63.70967741935484,500
ADV,43.56435643564357,500
CONJ,54.94505494505495,500
AP,72.97297297297297,500
ADJ,14.516129032258066,500
WH,22.58064516129032,500
PART,95.23809523809524,500
INTJ,0.0,500
NUM,0.0,500
start,0.0,750
stop,0.0,750
VB,54.6218487394958,750
PUNCT,0.0,750
N,48.93617021276596,750
PRO,89.03225806451613,750
ADV,60.13986013986013,750
D,80.62015503875969,750
CONJ,56.98924731182796,750
ADJ,0.0,750
AP,83.33333333333334,750
WH,23.684210526315788,750
PART,100.0,750
