tag,accuracy,sample_size
AP,90.22421524663677,10000
ADJ,50.43383947939263,10000
DPOS,83.25,10000
DI,74.35897435897436,10000
PART,94.53924914675767,10000
WH,74.22680412371135,10000
NUM,55.55555555555556,10000
INTJ,55.55555555555556,10000
DW,0.0,10000
XX,0.0,10000
start,0.0,15000
stop,0.0,15000
VB,77.06886845562019,15000
PUNCT,0.0,15000
N,72.9409080538444,15000
PRO,92.9375,15000
ADV,75.95729013254785,15000
DD,88.55350842806743,15000
CONJ,83.37689492943021,15000
AP,92.93447293447294,15000
ADJ,49.72847168347556,15000
DI,76.96526508226691,15000
DPOS,89.66165413533834,15000
PART,95.33799533799534,15000
WH,74.67532467532467,15000
NUM,59.0,15000
INTJ,34.0,15000
DW,0.0,15000
XX,0.0,15000
DIS,0.0,15000
start,0.0,18853
stop,0.0,18853
VB,75.92843181476469,18853
PUNCT,0.0,18853
N,73.01502145922747,18853
PRO,93.82903388973192,18853
ADV,80.16964024568587,18853
DD,89.03102014710585,18853
CONJ,78.0952380952381,18853
AP,92.53527537551206,18853
ADJ,57.86713286713287,18853
DI,77.16216216216216,18853
DPOS,91.94915254237289,18853
PART,97.65166340508806,18853
WH,80.0,18853
NUM,55.92105263157895,18853
INTJ,53.333333333333336,18853
DW,3.125,18853
XX,0.0,18853
start,0.0,250
stop,0.0,250
VB,18.26086956521739,250
PUNCT,0.0,250
PRO,77.38095238095238,250
N,55.69620253164557,250
DD,63.26530612244898,250
ADV,28.888888888888886,250
CONJ,58.97435897435898,250
AP,84.61538461538461,250
ADJ,10.526315789473683,250
DPOS,0.0,250
DI,0.0,250
WH,0.0,250
PART,25.0,250
INTJ,0.0,250
start,0.0,500
stop,0.0,500
VB,38.46153846153847,500
PUNCT,0.0,500
N,34.48275862068966,500
PRO,84.70588235294117,500
ADV,58.333333333333336,500
DD,72.15189873417721,500
AP,70.3125,500
CONJ,77.19298245614034,500
ADJ,8.0,500
DI,17.24137931034483,500
DPOS,21.428571428571427,500
PART,61.53846153846154,500
NUM,0.0,500
WH,33.33333333333333,500
INTJ,0.0,500
start,0.0,750
stop,0.0,750
VB,62.202380952380956,750
PUNCT,0.0,750
N,32.818532818532816,750
